experiment,96,192,336,720
Baseline,0.2898,0.34114,0.40164,0.45092
STD-Dispersion,0.29484,0.3313,0.4103,0.44672
STD-Full,0.31008,0.35802,0.38858,0.49152000000000007
STD-Seasonal,0.30496,0.32734,0.4102,0.46753999999999996
STD-Trend,0.29028,0.33530000000000004,0.46042000000000005,0.48152
