dataset,model,mse_96,mae_96,mse_192,mae_192,mse_336,mae_336,mse_720,mae_720
exchange_rate.csv,RawCNN_Ablation_cnn,0.05315910817612938,0.16932074358041713,0.11969034808322722,0.2654232322031881,0.2238120693606202,0.37789848217288935,0.4479058182067145,0.5428404231091548
ETTh1.csv,RawCNN_Ablation_cnn,0.31814317768122874,0.3954439325953596,0.3545914606865341,0.42286059047796054,0.4119017453736302,0.46741182350343985,0.42020398286870425,0.4629963713077418
ETTh2.csv,RawCNN_Ablation_cnn,0.2593384429664723,0.34725181883579326,0.3291264400612591,0.4100952938632508,0.34727857789750516,0.42768785699375905,0.4279834931752171,0.48577556471828875
ETTm1.csv,RawCNN_Ablation_cnn,0.2482702094998428,0.34117799277483685,0.2802292955599318,0.36426982002397035,0.30978480825169613,0.39089421658310464,0.3420415354361554,0.4130204856704116
ETTm2.csv,RawCNN_Ablation_cnn,0.14011863203707564,0.2503080335694581,0.19812660335568757,0.2922623687881309,0.2430430611215739,0.3386076698310578,0.3091187816079459,0.39349266333301997
