dataset,model,algo,model_type,mse_96,mae_96,mse_192,mae_192,mse_336,mae_336,mse_720,mae_720
exchange_rate.csv,CNNONLY_cnn,CNNONLY,cnn,0.09078867468380715,0.24271610982044262,0.11655122586108864,0.26336992238586693,0.23217278228902008,0.38074226410555867,0.42356992718415365,0.5400594857593126
ETTh1.csv,CNNONLY_cnn,CNNONLY,cnn,0.343296539039723,0.41405271064899174,0.3700553695568207,0.42685628314472956,0.3701217385992859,0.43404224670637487,0.638265003669983,0.573165375245571
ETTh2.csv,CNNONLY_cnn,CNNONLY,cnn,0.27048397675895136,0.3613023893988399,0.3440259188110979,0.4148081699881724,0.3449605879010258,0.4325271063954428,0.4191546998328813,0.4848823832939985
ETTm1.csv,CNNONLY_cnn,CNNONLY,cnn,0.262388343236383,0.3490604591273347,0.27745783020411674,0.36315273197000464,0.3026845446959933,0.3837910907419845,0.35597357370062205,0.42441257207884797
ETTm2.csv,CNNONLY_cnn,CNNONLY,cnn,0.14342740687257946,0.25265306095267986,0.19608961685055631,0.2911703167706993,0.23688790083217517,0.32651827092949604,0.30737829655451354,0.39193629395242796
