dataset,model,algo,model_type,mse_96,mae_96,mse_192,mae_192,mse_336,mae_336,mse_720,mae_720
exchange_rate.csv,RawCNN_Ablation_cnn,RawCNN_Ablation,cnn,0.321462135924384,0.5067104791000288,0.44626078108508854,0.5857350532879039,0.5535804440954453,0.6485926643830937,0.9490236743561802,0.8584434803951011
ETTh1.csv,RawCNN_Ablation_cnn,RawCNN_Ablation,cnn,0.34310673690514154,0.41421925773657675,0.4174449124440226,0.46340232318517494,0.4756431839562748,0.5049700920031475,0.5048333943865287,0.511071446907761
ETTh2.csv,RawCNN_Ablation_cnn,RawCNN_Ablation,cnn,0.3402702131354774,0.42190995790057095,0.4418344171648056,0.4971941163027977,0.4490333964114492,0.47707261390132977,0.6923936784747214,0.6247266460321806
ETTm1.csv,RawCNN_Ablation_cnn,RawCNN_Ablation,cnn,0.2567621344573752,0.347662870425567,0.2934826279576207,0.3753460496851795,0.31741109541828905,0.40162219122478743,0.34876341317828546,0.40726887760698227
ETTm2.csv,RawCNN_Ablation_cnn,RawCNN_Ablation,cnn,0.24114179059273072,0.3753832538847671,0.33367788644121565,0.4534315234643773,0.4205248151072299,0.5064426569562579,0.40402205847788275,0.4588081037778718
