dataset,model,algo,model_type,mse_96,mae_96,mse_192,mae_192,mse_336,mae_336,mse_720,mae_720
exchange_rate.csv,SSA_linear,SSA,linear,0.052513423127996534,0.16593637219431262,0.18102597781843757,0.33790681437629116,0.26107781506788075,0.41061461547054323,0.5449905104468239,0.5732178251778686
ETTh1.csv,SSA_linear,SSA,linear,0.296953779837828,0.3760717132835277,0.3333378423835948,0.4021797450261965,0.3691934060282767,0.43022961889082556,0.41957524701077037,0.4794353448697387
ETTh2.csv,SSA_linear,SSA,linear,0.2378470065132638,0.3239833452912415,0.29344071680979467,0.3709069491349103,0.312975894985398,0.40017960158823146,0.3728183563359227,0.4533396912867922
ETTm1.csv,SSA_linear,SSA,linear,0.2526352709913587,0.34181306282698243,0.2747986228713871,0.35387122354644734,0.3070169011673292,0.38387042596427956,0.3989211995056331,0.46218836670897384
ETTm2.csv,SSA_linear,SSA,linear,0.13733719520572563,0.24935268367404265,0.18277197253408042,0.2833586392337329,0.21402467385565602,0.30371711321250966,0.29521406059030225,0.37337731391709367
