dataset,decomp,horizon,ablation,learner,n_feat,MAE,MSE,MAPE
ETTh2,NONE,96,RAW,Ridge,336,0.37424418190825437,0.3002972981533573,700.6367586096939
ETTh2,NONE,192,RAW,Ridge,336,0.4404050667521184,0.3962803012745885,686.2392068251671
ETTh2,NONE,336,RAW,Ridge,336,0.4886818233904139,0.4582321431427138,627.036678854234
ETTh2,NONE,720,RAW,Ridge,336,0.607615515158578,0.6646288104087074,502.1364686288444
