dataset,decomp,horizon,ablation,learner,n_feat,MAE,MSE,MAPE
ETTh1,NONE,96,RAW,Ridge,336,0.36659061769238943,0.29603833672140734,400.15851298666786
ETTh1,NONE,192,RAW,Ridge,336,0.3898478407407794,0.32847059919460164,433.31729681952834
ETTh1,NONE,336,RAW,Ridge,336,0.4081870699000754,0.3539352820455105,420.9344185390502
ETTh1,NONE,720,RAW,Ridge,336,0.4506877584743737,0.3981747199838314,520.2240889966794
