dataset,decomp,horizon,ablation,learner,n_feat,MAE,MSE,MAPE
exchange_rate,NONE,96,RAW,Ridge,336,0.17354157746459672,0.056562941442464605,100.11532408518299
exchange_rate,NONE,192,RAW,Ridge,336,0.26928606939049404,0.12757328182625371,150.5533605536491
exchange_rate,NONE,336,RAW,Ridge,336,0.4268243780118572,0.3093295833574827,187.0406279195943
exchange_rate,NONE,720,RAW,Ridge,336,0.7479796069772034,0.870362494131164,288.3826027297627
